Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,SMA_10,WMA_10,Momentum_10,Lowest_10,Highest_10,Stoch_K%_10,Stoch_D%_10,Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_10,MACD,Williams_R%_10,AD_Oscillator,Typical_Price,SMA_Typical,Mean_Deviation,CCI_10
2023-12-31,2281.9,2291.7,2320.91,2264.67,"232,62K","-0,43%",,,,,,,,,0.0,0.0,,,,,0.0,,,2289.16,,,
2023-12-30,2291.7,2299.24,2322.76,2269.23,"219,92K","-0,33%",,,,,,,,9.799999999999727,9.799999999999727,0.0,,,,,0.7817663817663743,,0.7633102932934798,2294.563333333333,,,
2023-12-29,2299.24,2344.48,2385.26,2265.63,"475,37K","-1,93%",,,,,,,,7.539999999999964,7.539999999999964,0.0,,,,,1.9868338731016593,,0.7820780740616928,2316.71,,,
2023-12-28,2344.47,2378.63,2443.59,2338.46,"626,91K","-1,44%",,,,,,,,45.23000000000002,45.23000000000002,0.0,,,,,6.5164242566479516,,1.3730619233330184,2375.5066666666667,,,
2023-12-27,2378.63,2230.76,2391.53,2213.78,"577,27K","6,63%",,,,,,,,34.16000000000031,34.16000000000031,0.0,,,,,12.7160016311459,,0.26475386779184473,2327.98,,,
2023-12-26,2230.74,2271.38,2274.71,2184.6,"429,50K","-1,79%",,,,,,,,-147.89000000000033,0.0,147.89000000000033,,,,,5.630815794856062,,-1.1532571301742307,2230.0166666666664,,,
2023-12-25,2271.38,2263.57,2303.28,2253.25,"298,17K","0,35%",,,,,,,,40.64000000000033,40.64000000000033,0.0,,,,,3.257512751667946,,1.4499300419748178,2275.9700000000003,,,
2023-12-24,2263.57,2308.6,2325.08,2247.73,"319,33K","-1,95%",,,,,,,,-7.809999999999945,0.0,7.809999999999945,,,,,0.7379446950199053,,0.6942469295410456,2278.793333333333,,,
2023-12-23,2308.61,2324.24,2330.07,2267.39,"266,30K","-0,67%",,,,,,,,45.039999999999964,45.039999999999964,0.0,,,,,2.3484489845973258,,1.060944479897889,2302.023333333333,,,
2023-12-22,2324.23,2239.62,2341.52,2232.83,"620,73K","3,78%",2299.447,2299.027272727273,,2184.6,2443.59,53.91327850496157,,15.61999999999989,15.61999999999989,0.0,19.80300000000002,15.570000000000027,1.271868978805394,55.98337715206512,4.8295170293135925,46.086721495038425,0.3027877449627366,2299.5266666666666,2299.025,25.324333333333378,1.3206446149725575
2023-12-21,2239.62,2202.19,2277.72,2183.35,"471,46K","1,70%",2295.219,2288.149636363636,-42.2800000000002,2183.35,2443.59,21.62234860129109,,-84.61000000000013,0.0,84.61000000000013,19.80300000000002,24.03100000000004,0.8240605884066408,45.177259661449995,-0.031179141114535014,78.37765139870892,-0.49284730316838266,2233.563333333333,2293.465333333333,31.103600000000142,-128.3924261714609
2023-12-20,2202.19,2177.45,2263.3,2161.76,"440,35K","1,14%",2286.268,2271.235272727273,-89.50999999999976,2161.76,2443.59,14.345527445623194,,-37.429999999999836,0.0,37.429999999999836,18.823000000000047,27.774000000000022,0.6777201699431133,40.395304418739435,-6.824930509500064,85.65447255437681,0.23320858774867342,2209.0833333333335,2284.9173333333333,39.432000000000016,-128.21059038344458
2023-12-19,2177.44,2218.82,2254.75,2137.8,"400,94K","-1,86%",2274.088,2251.448363636363,-121.79999999999973,2137.8,2443.59,12.963144641747565,,-24.75,0.0,24.75,18.069000000000052,30.249000000000024,0.5973420608945763,37.39600149012795,-14.044252174081066,87.03685535825244,0.4494228302693461,2189.9966666666664,2272.246,45.26480000000011,-121.13803416537569
2023-12-18,2218.8,2197.01,2223.3,2123.06,"388,26K","0,99%",2261.521,2241.396,-125.66999999999962,2123.06,2391.53,35.66134018698556,,41.36000000000013,41.36000000000013,0.0,17.682000000000063,30.249000000000024,0.5845482495289117,36.890530137072105,-16.240994194205086,64.33865981301443,0.4575019952114926,2188.3866666666668,2253.534,43.32466666666669,-100.2467160098686
2023-12-17,2197.04,2229.07,2247.84,2196.06,"233,48K","-1,44%",2243.362,2229.672181818182,-181.59000000000015,2123.06,2341.52,33.86432298819006,,-21.76000000000022,0.0,21.76000000000022,14.26600000000003,32.42500000000005,0.43996915959907507,30.55406823584846,-19.512846270436967,66.13567701180993,0.5608342989571234,2213.6466666666665,2242.1006666666667,37.582133333333374,-50.47433887024357
2023-12-16,2229.07,2220.41,2262.68,2212.8,"206,79K","0,39%",2243.195,2227.073636363636,-1.669999999999618,2123.06,2341.52,48.52604595807022,,32.0300000000002,32.0300000000002,0.0,17.46900000000005,17.636000000000013,0.9905307325924267,49.762142144993646,-19.298794805712987,51.47395404192978,1.315958299919814,2234.85,2242.584,37.195466666666654,-13.861904318088811
2023-12-15,2220.41,2315.4,2317.42,2213.18,"349,63K","-4,11%",2238.098,2222.930909090909,-50.970000000000255,2123.06,2341.52,44.561933534743154,,-8.66000000000031,0.0,8.66000000000031,13.405000000000019,18.502000000000045,0.7245162685115115,42.01272448052149,-19.601987591975103,55.43806646525684,0.8475633154259373,2250.3366666666666,2240.0206666666663,34.11946666666658,20.15662612936561
2023-12-14,2315.64,2260.18,2331.63,2237.39,"461,60K","2,45%",2243.305,2237.0294545454544,52.06999999999971,2123.06,2341.52,88.15343770026544,,95.23000000000002,95.23000000000002,0.0,22.92800000000002,17.72100000000005,1.2938321765137382,56.404831607173556,-12.019452167058262,11.846562299734554,1.1801782682512731,2294.8866666666668,2241.63,36.050666666666714,98.48484848484834
2023-12-13,2260.18,2203.49,2283.84,2148.87,"436,64K","2,57%",2238.4620000000004,2240.0976363636364,-48.43000000000029,2123.06,2341.52,62.76663920168446,41.637801876356235,-55.460000000000036,0.0,55.460000000000036,18.424000000000024,23.267000000000053,0.7918511196114661,44.19179199347579,-10.365905014578857,37.23336079831554,-0.2356079128695241,2230.963333333333,2234.5240000000003,28.300800000000027,-8.387670234686414
